,ID,Name,Rate per 1000(₹),Min / Max order,Description
60,286,  Just_crazzy_thingss [ 56k ]  ,  ₹190  ,1000 / 1000, Details 
61,290,  Student.love.facts [60k]  ,  ₹190  ,1000 / 1000, Details 
62,285,  Dekho.papa [101k]  ,  ₹250  ,1000 / 1000, Details 
63,289,  💎💎the_aww_things [122k Base]💎💎  ,  ₹250  ,1000 / 1000, Details 
64,374,  Awesome_shayari_ [ 489k ] [Story]  ,  ₹250  ,1000 / 1000, Details 
65,1143,  Indian_Engineer [120k Base]  ,  ₹260  ,1000 / 1000, Details 
66,291,  Student_facts [219k]  ,  ₹350  ,1000 / 1000, Details 
67,295,  sadcasml [185k]  ,  ₹400  ,1000 / 1000, Details 
68,1813,  Facebook LQ Page Likes [NR]  ,  ₹199  ,100 / 1000, Details 
69,1804,  ♨️Fb HQpage Likes [No Refill]  ,  ₹230  ,100 / 1000, Details 
70,977,  FB Post Shares s2  ,  ₹429  ,500 / 5000, Details 
71,1506,  Facebook Website Post Shares  ,  ₹699  ,50 / 5000, Details 
72,978,  FB Indian Random Comments [ REAL ]  ,  ₹4500  ,10 / 30, Details 
73,981,  FB Indian Custom Comments [ REAL ]  ,  ₹6500  ,11 / 30, Details 
74,400,  ⭐Facebook Followers [30 days refill ]  ,  ₹24430  ,100 / 3000, Details 
75,2141,  Youtube - Views [ NO REFILL ] INSTANT  ,  ₹60  ,1000 / 10000000, Details 
76,1801,  Youtube - Views [ No Refill ]  ,  ₹65  ,100 / 100000, Details 
77,2014,  Youtube Views [ Life Time Guaranteed ] Slow  ,  ₹95  ,1000 / 1000000, Details 
78,1742,  🔥🔥 Youtube High Retention Views [100k/Day]  ,  ₹105  ,1000 / 100000, Details 
79,1832,  Youtube Non Drop Views {Life Time Guaranteed}  ,  ₹115  ,1000 / 20000, Details 
80,1799,  🆕Youtube View [500k/day] [ Life Time Guaranteed ] INSTANT  ,  ₹120  ,1000 / 10000000, Details 
81,1823,  Youtube Views [ EMBEDDED ADS VIEWS ] [5-10k/day ] INSTANT  ,  ₹170  ,1000 / 10000000, Details 
82,1083,  🔁 YT Shares [S1]  ,  ₹85  ,50 / 50000, Details 
83,1084,  🔁 YT Facebook Shares ⚡️  ,  ₹85  ,50 / 50000, Details 
84,1085,  🔁 YT Whatsapp Shares ⚡️  ,  ₹85  ,50 / 50000, Details 
85,1086,  🔁 YT Twitter Shares ⚡️  ,  ₹85  ,50 / 50000, Details 
86,1087,  🔁 YT Google Shares ⚡️  ,  ₹85  ,50 / 50000, Details 
87,1088,  🔁 YT REDITT Shares ⚡️  ,  ₹85  ,50 / 50000, Details 
88,920,  🔸👎YT DisLikes  ,  ₹599  ,10 / 5000, Details 
89,1133,  ✅ Youtube CUSTOM Comments  ,  ₹999  ,10 / 100, Details 
90,1134,  🇺🇸 Youtube RANDOM Comments [ USA ]  ,  ₹2799  ,10 / 100, Details 
91,1135,  🇺🇸 Youtube CUSTOM Comments [ USA ]  ,  ₹3499  ,10 / 100, Details 
92,1013,  ⚡️Live Stream Views ⛔  ,  ₹160  ,5000 / 5000, Details 
93,1092,  💬 LiveStream Custom Chat Comments  ,  ₹4800  ,10 / 1000, Details 
94,1581,  🔥 Youtube Adword Views [ Stream Ads ] Cheapest  ,  ₹70  ,50000 / 50000000, Details 
95,1508,  🌟YT Adwords Views [ Discovery Ads ] Likes/comments  ,  ₹99  ,50000 / 50000000, Details 
96,1089,  🇮🇳 Youtube Adwords Views ( Target India )  ,  ₹159  ,20000 / 500000000, Details 
97,1052,  ⭐ YT Ad Views ( Target Any Country )  ,  ₹220  ,30000 / 500000, Details 
98,1806,  YouTube Watchtime [1000 Hours] [Minimum 2-3 Hours Video]  ,  ₹960  ,1000 / 1000, Details 
99,1807,  YouTube Watchtime [2000 Hours][Minimum 2-3 Hours Video]  ,  ₹1840  ,1000 / 1000, Details 
100,1808,  YouTube Watchtime [3000 Hours] [Minimum 2-3 Hours Video]  ,  ₹2600  ,1000 / 1000, Details 
101,1809,  YouTube Watchtime [4000 Hours] [Minimum 2-3 Hours Video]  ,  ₹3350  ,1000 / 1000, Details 
102,397,  [S1]Google Play Store Downloads  ,  ₹7900  ,3500 / 1000000000, Details 
103,1097,  🔊 SoundCloud Plays [FAST]  ,  ₹5  ,100 / 10000, Details 
104,1098,  🔊 Soundcloud Downloads [Server 2]  ,  ₹10  ,100 / 10000, Details 
105,1676,  Spotify Free Plays [3.5k]  ,  ₹40  ,1000 / 10000, Details 
106,1677,  Spotify Track Plays [1M]  ,  ₹60  ,1000 / 100000, Details 
107,1181,  Spotify Plays (S1)  ,  ₹65  ,50000 / 5000000, Details 
108,1681,  🔥Spotify Monthly Listeners  ,  ₹90  ,1000 / 50000, Details 
109,1182,  Spotify Plays (S2) R30  ,  ₹95  ,5000 / 5000000, Details 
110,1183,  Spotify [Custom] Playlist Plays (USA Based)  ,  ₹95  ,5000 / 5000000, Details 
111,1678,  🔥🔥 SPOTIFY Search Free Plays 🔥🔥  ,  ₹120  ,1000 / 100000, Details 
112,1679,  🔥🔥Spotify Search Premium Plays 🔥🔥  ,  ₹150  ,1000 / 100000, Details 
113,1184,  Spotify Followers  ,  ₹160  ,1000 / 100000, Details 
114,1680,  🔥[NEW] Spotify Podcast Plays🔥  ,  ₹179  ,1000 / 100000, Details 
115,63,  Real WW Traffic [Google Organic]  ,  ₹85  ,1000 / 10000000, Details 
116,1695,  Telegram Post View [200K]  ,  ₹35  ,100 / 200000, Details 
117,1531,  Telegram Group Members [100K]  ,  ₹99  ,100 / 5000, Details 
118,1696,  Telegram Vote [Like] [70k/Day]  ,  ₹720  ,10 / 70000, Details 
119,893,  Lifetime Panel - 3999  ,  ₹3999  ,1000 / 1000, Details 
120,894,  Lifetime Panel - 4999  ,  ₹4999  ,1000 / 1000, Details 
121,1837,  Steam Random Key [OFFICIAL] [Key Value 18.95$+]  ,  ₹655  ,1000 / 1000, Details 
