,ID,Name,Rateper1000(₹),Min/Maxorder,Description
37,2186,  🦾 Instagram POWER Likes [20K]  ,  ₹199  ,50 / 5000, Details 
38,2189,  💧Instagram Divided Likes [5 Old Posts]  ,  ₹113.4  ,10 / 10000, Details 
39,2190,  💧Instagram Divided Likes [10 Old Posts]  ,  ₹226.8  ,10 / 1000000, Details 
40,2192,  💧Instagram Likes [REAL] [(10 Old Posts]  ,  ₹478.8  ,50 / 50000, Details 
41,2191,  💧Instagram Likes [Instant- Real](10 Old Posts)  ,  ₹1915.2  ,50 / 10000, Details 
42,2213,  👁‍🗨IG Video Views Cheapest and Best in the Market 💯  ,  ₹1  ,200 / 100000, Details 
43,2377,  Instagram Superfast Bulk Views [5M]  ,  ₹3  ,10 / 5000000, Details 
44,2216,  🎊IG Views + Impressions Cheapest  ,  ₹3.9  ,100 / 1000000, Details 
45,2214,  💫IG Views + Profile Visits + Impressions + Interaction + Reach ⚡⚡  ,  ₹5  ,250 / 1000000, Details 
46,2217,  💪IG Views + Impressions [FROM OTHER]  ,  ₹5  ,100 / 50000, Details 
47,2215,  ♦️IG Views + Impressions + Profile Visits  ,  ₹6  ,100 / 5000000, Details 
48,2219,  🌎IG Views + Impressions [FROM EXPLORE]  ,  ₹6  ,100 / 2000000, Details 
49,2220,  🗾IG Views + Impressions [FROM LOCATION]  ,  ₹6  ,100 / 2000000, Details 
50,2221,  🏠IG Views + Impressions [FROM HOME]  ,  ₹6  ,100 / 2000000, Details 
51,2218,  🏆IG Views + Impressions + Profile Visits Cheapest  ,  ₹6.3  ,100 / 10000000, Details 
52,2212,  🔥IG Video Views on Post - Super Fast Delivery ⚡️  ,  ₹8.5  ,100 / 1000000, Details 
53,2232,  🌎Instagram REACH + Impressions ( Unique Service )  ,  ₹75  ,25 / 50000, Details 
54,1661,  👁‍🗨IG Views [HQ]  ,  ₹700  ,100 / 3000000, Details 
55,2194,  💌Instagram Profile Visits [ - Add Post link]  ,  ₹3  ,10 / 10000, Details 
56,2195,  💌Instagram Impressions (Real]  ,  ₹4  ,20 / 10000, Details 
57,2193,  💌Instagram Views + Impression + Profile Visit  ,  ₹6.7  ,50 / 15000000, Details 
58,2197,  💌Instagram Views + Impression  ,  ₹6.7  ,100 / 1000000, Details 
59,2196,  💌Instagram Organic Views + Impressions  ,  ₹8.4  ,100 / 1500000, Details 
60,2198,  💌Instagram Likes + Impression + Profile Visit  ,  ₹34.4  ,10 / 10000, Details 
61,2199,  📺 Instagram Live Video Likes [10k]  ,  ₹16.8  ,200 / 10000, Details 
62,2205,  📺Instagram Live Video Likes [10K]  ,  ₹16.8  ,200 / 10000, Details 
63,2206,  💕 IG live Video Heart Likes  ,  ₹42  ,200 / 10000, Details 
64,2375,  Instagram Live Viewers For 10 Minutes  ,  ₹177.8  ,20 / 2000, Details 
65,2374,  Instagram Live Viewers For 20 Minutes  ,  ₹252.6  ,20 / 2000, Details 
66,2373,  Instagram Live Viewers For 30 Minutes  ,  ₹328.2  ,20 / 2000, Details 
67,2372,  Instagram Live Viewers For 40 Minutes  ,  ₹411.1  ,20 / 2000, Details 
68,2204,  📺Instagram Live Video Comments [2K] [RANDOM] [FEMALE] [INSTANT]🙆‍♀️  ,  ₹420  ,50 / 2000, Details 
69,2202,  📺 Instagram Live Video Comments [2K] [RANDOM] [INSTANt]  ,  ₹462  ,50 / 2000, Details 
70,2371,  Instagram Live Viewers For 50 Minutes  ,  ₹507.3  ,20 / 2000, Details 
71,2370,  Instagram Live Viewers For 60 Minutes  ,  ₹557.9  ,20 / 2000, Details 
72,2207,  😅😂😍Random Emojis and comments on live video  ,  ₹588  ,50 / 1500, Details 
73,2203,  📺Instagram Live Video Comments [2K] [RANDOM] [MALE] [INSTANT]👨🏻‍💻  ,  ₹756  ,50 / 2000, Details 
74,2268,  ❄️IG Random Comments - Emojies  ,  ₹70  ,10 / 5000, Details 
75,2271,  💕IG Comment Like (Last 40 Comment)  ,  ₹117.6  ,10 / 2000, Details 
76,2270,  🔥Comment Replies (Last 40 Comments)  ,  ₹504  ,10 / 2000, Details 
77,2267,  💫IG Random Comments - Real Accounts  ,  ₹900  ,5 / 100, Details 
78,2269,  🌟IG CUSTOM Comments - Real Accounts  ,  ₹1260  ,5 / 1000, Details 
79,2278,  ⬇️Instagram Saves 🌟  ,  ₹1.8  ,10 / 25000, Details 
80,2274,  ❄️Instagram Story Views (Fastest) {Last Post}  ,  ₹12.6  ,20 / 5000, Details 
81,2272,  👁‍🗨Instagram Story Views- All Stories  ,  ₹17  ,100 / 30000, Details 
82,2275,  🙍‍♂️Instagram Story Views MALE  ,  ₹19  ,20 / 5000, Details 
83,2276,  ♀Instagram Story Views FEMALE  ,  ₹30  ,20 / 5000, Details 
84,2273,  🇧🇷Instagram Story Views  ,  ₹93  ,20 / 2000, Details 
85,2277,  🎗IG Story Poll Votes  ,  ₹546  ,20 / 25000, Details 
86,2279,  📺Instagram TV Views ⚡️  ,  ₹4  ,100 / 10000000, Details 
87,2230,  🦋 Facebook Page Likes 30DR [1k/Day]  ,  ₹268.8  ,100 / 10000, Details 
88,2227,  🦋 Facebook Page Likes [30 DR ]  ,  ₹520  ,50 / 5000, Details 
89,2314,  💪FB Page Likes Superfast- 30D Refill  ,  ₹730.8  ,100 / 50000, Details 
90,2315,  ♻️FB- Page Likes⚡⚡ - Best service ( Real Likes ) Lifetime Guarantee  ,  ₹1050  ,100 / 9999999, Details 
91,2320,  🆕FB- Post/Photo Likes No guarantee - Instant  ,  ₹50.4  ,20 / 500, Details 
92,2229,  Facebook LQ Post Likes [NR]  ,  ₹105  ,20 / 500, Details 
93,2231,  ♛ Facebook REAL Post-Likes [30-Days-refill]  ,  ₹168  ,100 / 10000, Details 
94,2316,  🔥🔥FB - Post/Photo Likes Superfast Service - MSP Exclusive  ,  ₹184.8  ,100 / 4000, Details 
95,2317,  ⚡⚡FB- Photo/Post Likes NON DROP - 30 Day Refill  ,  ₹336  ,100 / 15000, Details 
96,2319,  FB Post/Photo Likes from India & Middle East countries 🇮🇳  ,  ₹361.2  ,50 / 5000, Details 
97,2321,  🧡Facebook -🧡 Emoticons Post Like ( Heart )  ,  ₹382.2  ,100 / 5000, Details 
98,2322,  😂Facebook -😂Emoticons Post Like ( Haha )  ,  ₹382.2  ,100 / 5000, Details 
99,2323,  😮Facebook -😮 Emoticons Post Like ( Wow )  ,  ₹382.2  ,100 / 5000, Details 
100,2324,  😥Facebook -😥 Emoticons Post Like ( Sad)  ,  ₹382.2  ,100 / 5000, Details 
101,2325,  😡Facebook -😡Emoticons Post Like ( Angry )  ,  ₹382.2  ,100 / 5000, Details 
102,2318,  ❤️Facebook - Post/Photo Likes High Quality - Good profiles  ,  ₹453.6  ,100 / 15000, Details 
103,2327,  📺Facebook - Video Views💪  ,  ₹2.9  ,100 / 2000000000, Details 
104,2228,  🦋 Facebook Video Views [LQ]  ,  ₹3  ,100 / 2000000000, Details 
105,2326,  📺Facebook - Video Views ⚡⚡ Instant  ,  ₹5  ,500 / 10000000, Details 
106,2328,  🔥⚡⚡Facebook - Video Views best server  ,  ₹63  ,1000 / 10000000, Details 
107,1833,  Facebook Video Views [HQ]  ,  ₹840  ,100 / 1000000, Details 
108,2329,  📹Facebook Live Stream Views 30 minute WT - ⚡⚡  ,  ₹1512  ,100 / 1000, Details 
109,2330,  📹Facebook Live Stream Views 60 minute WT - ⚡⚡  ,  ₹2940  ,100 / 1000, Details 
110,2331,  📹Facebook Live Stream Views 90 minute WT - ⚡⚡  ,  ₹3864  ,100 / 1000, Details 
111,2332,  📹Facebook Live Stream Views 120 minute WT - ⚡⚡  ,  ₹5712  ,100 / 1000, Details 
112,2333,  📹Facebook Live Stream Views 240 minute WT - ⚡⚡  ,  ₹10080  ,100 / 1000, Details 
113,2348,  📡FBPost Shares  ,  ₹596.4  ,25 / 1000000, Details 
114,2347,  📡FB Website Share  ,  ₹604.8  ,50 / 2147483647, Details 
115,2349,  📆 FB Event Join/Confirmed  ,  ₹705.6  ,20 / 5000, Details 
116,2350,  📆 FB Event Interested  ,  ₹705.6  ,20 / 5000, Details 
117,2351,  📆MALE FB Event Interested  ,  ₹840  ,20 / 1000, Details 
118,2352,  📆FEMALE FB Event Interested  ,  ₹840  ,20 / 1000, Details 
119,2353,  📆MALE FB Event Join/Confirmed  ,  ₹840  ,20 / 1000, Details 
120,2354,  📆 FEMALE FB Event Join/Confirmed  ,  ₹840  ,20 / 1000, Details 
121,2337,  ✡️Facebook 5 STAR  Rating ⭐⭐⭐⭐⭐  ,  ₹1814.4  ,25 / 5000, Details 
122,2338,  ✡️Facebook 1 STAR Rating ⭐  ,  ₹1814.4  ,25 / 5000, Details 
123,2335,  ✡️Facebook Custom 5 STAR ⭐⭐⭐⭐⭐ Fan Page Ratings  ,  ₹2100  ,20 / 5000, Details 
124,2336,  ✡️Facebook Custom 1 STAR ⭐ Fan Page Ratings  ,  ₹2100  ,20 / 5000, Details 
125,2339,  ♂️ FB- RANDOM MALE Comments📝  ,  ₹3528  ,15 / 100, Details 
126,2341,  ♀️FB- CUSTOM FEMALEComments📝  ,  ₹3528  ,15 / 100, Details 
127,2343,  🇮🇳 FB- RANDOM INDIAN Comments📝)  ,  ₹4200  ,10 / 30, Details 
128,2340,  ♂️FB- CUSTOM MALE Comments📝  ,  ₹5460  ,15 / 100, Details 
129,2342,  ♀️FB- CUSTOM FEMALEComments📝  ,  ₹5460  ,15 / 100, Details 
130,2344,  🇮🇳FB- CUSTOM INDIAN Comments📝  ,  ₹6048  ,10 / 30, Details 
131,2334,  ⏭️Facebook - Followers No Refill  ,  ₹100.8  ,20 / 500, Details 
132,2346,  🧑‍🤝‍🧑Facebook - Group Members  ,  ₹382.2  ,100 / 10000, Details 
133,2345,  ❤️Facebook -Friend Requests  ,  ₹1848  ,100 / 5000, Details 
134,2211,  ♦️Youtube LQ Views [ No Refill ] [10k]  ,  ₹55  ,100 / 10000, Details 
135,2297,  ♦️Youtube HQ Views [ No Refill ] [15k]  ,  ₹70  ,100 / 15000, Details 
136,2388,  Youtube Views [Lifetime Guarantee]  ,  ₹99  ,1000 / 10000, Details 
137,2209,  Youtube Real Views [0-3min Retention] [15k]  ,  ₹105  ,1000 / 15000, Details 
138,2376,  🔸♻️ Youtube SEO Views [NON DROP] [Lifetime Guarantee]  ,  ₹120  ,1000 / 10000000, Details 
139,2234,  Youtube Likes [No Refill] [slow]  ,  ₹120  ,20 / 50000, Details 
140,2044,  Youtube HQ Likes [ 30 days refill]  ,  ₹240  ,20 / 10000, Details 
141,2356,  🇮🇳Youtube Comments [RANDOM] [INDIA]  ,  ₹2500  ,10 / 100, Details 
142,2357,  🇮🇳 Youtube Comments [CUSTOM] [INDIA] [R∞] ⚡⭐  ,  ₹3300  ,10 / 100, Details 
143,2358,  🔸 Youtube Subscribers [NON DROP] [30 Days Auto Refill][Slow]  ,  ₹690  ,10 / 10000, Details 
144,2359,  🌟Youtube Subscribers ( Lifetime Guarantee )  ,  ₹1100  ,100 / 20000, Details 
145,2295,  YouTube Pre-Premiere Waiting Views [ Instant ]  ,  ₹280  ,1000 / 100000, Details 
146,2296,  Youtube Live Stream Views [ MONETIZABLE ] [ REAL ] INSTANT  ,  ₹280  ,1000 / 100000, Details 
147,2294,  Youtube Views [Adwords] [ Non Drop ]  ,  ₹130  ,20000 / 100000000, Details 
148,2293,  Youtube Adword INDIAN Views  ,  ₹140  ,50000 / 100000000, Details 
149,2360,  YouTube Watchtime [1000 Hours] [Minimum 2-3 Hours Video]  ,  ₹820  ,1000 / 1000, Details 
150,2361,  YouTube Watchtime [2000 Hours] [Minimum 2-3 Hours Video]  ,  ₹1590  ,1000 / 1000, Details 
151,2362,  YouTube Watchtime [3000 Hours] [Minimum 2-3 Hours Video]  ,  ₹2260  ,1000 / 1000, Details 
152,2363,  YouTube Watchtime [4000 Hours] [Minimum 2-3 Hours Video]  ,  ₹2990  ,1000 / 1000, Details 
153,2387,  Twitter Poll Votes [slow]  ,  ₹50  ,20 / 500000, Details 
154,2381,  Twitter Retweets [NR]  ,  ₹150  ,20 / 50000, Details 
155,2384,  Twitter Likes [NR]  ,  ₹150  ,20 / 50000, Details 
156,2379,  Twitter Followers [NR]  ,  ₹160  ,20 / 50000, Details 
157,2386,  Twitter Poll Votes [50K]  ,  ₹160  ,20 / 500000, Details 
158,2380,  Twitter Followers {Mixed} [AR10]  ,  ₹295  ,50 / 5000, Details 
159,2383,  Twitter Favorites [HQ] [R30]  ,  ₹340  ,20 / 100000, Details 
160,2385,  Twitter Likes [R30]  ,  ₹410  ,20 / 10000, Details 
161,2382,  Twitter Retweets [10k] [R30]  ,  ₹430  ,20 / 10000, Details 
162,2378,  Twitter Followers [5k] [R45]  ,  ₹820  ,50 / 5000, Details 
163,2283,  👁‍🗨Tiktok Views - Real Accounts  ,  ₹0.5  ,100 / 10000000, Details 
164,2284,  👁‍🗨Tiktok Views - Real Accounts  ,  ₹1.1  ,100 / 10000000, Details 
165,2282,  ❄️TikTok Likes - Bots  ,  ₹105  ,100 / 10000, Details 
166,2355,  👁‍🗨Tiktok Followers - Real Accounts [slow] [R30]  ,  ₹390  ,100 / 20000, Details 
167,2280,  🅵 TIK TOK FOLLOWERS  ,  ₹504  ,10 / 5000, Details 
168,2281,  🅻TikTok Likes  ,  ₹504  ,10 / 20000, Details 
169,2308,  📍Quora Likes on the answer [NO DROP] [ INSTANT]  ,  ₹1990  ,10 / 10000, Details 
170,2309,  📍Quora Shares the answer [NO DROP] [ INSTANT]  ,  ₹1990  ,10 / 10000, Details 
171,2310,  📍Quora Subscribers on the User[NO DROP] [ INSTANT]  ,  ₹1990  ,10 / 10000, Details 
172,2287,  Telegram Post View  ,  ₹4  ,200 / 200000, Details 
173,2288,  Telegram - Post Views [Last 5]  ,  ₹20  ,100 / 35000, Details 
174,2285,  Telegram Public/Private Channel and Group Members  ,  ₹81  ,100 / 7000, Details 
175,2286,  ⚡️Superfast Telegram Public Channel Members Real  ,  ₹210  ,1000 / 20000, Details 
176,2289,  Telegram Vote [Like]  ,  ₹806.4  ,5 / 70000, Details 
177,2235,  SoundCloud Fast Plays [10M] [S3]⚡️💧⭐  ,  ₹2  ,50000 / 10000000, Details 
178,2236,  SoundCloud Plays [1.5M] [S1] ⚡️💧⭐  ,  ₹5  ,100 / 1500000, Details 
179,2238,  SoundCloud Downloads [1.5M] ⚡️💧⭐  ,  ₹5  ,1000 / 10000000, Details 
180,2237,  SoundCloud USA Plays [1M] [S4] ⚡️💧⭐  ,  ₹6  ,10000 / 10000000, Details 
181,2242,  SoundCloud USA Reposts [50K] ⚡️💧⭐  ,  ₹75  ,100 / 10000, Details 
182,2239,  Soundcloud USA Likes [50K] [R30] ⚡️💧⭐  ,  ₹80  ,100 / 10000, Details 
183,2240,  SoundCloud USA Followers [50K] [R30] ⚡️💧⭐  ,  ₹85  ,100 / 50000, Details 
184,2241,  SoundCloud Followers [50K] [R60] [1H - 5K/Day]  ,  ₹130  ,100 / 50000, Details 
185,2243,  SoundCloud Reposts [10K] [1H - 5K/Day]  ,  ₹250  ,20 / 10000, Details 
186,2244,  SoundCloud Track Random Comments [HQ] [10K] ⚡️  ,  ₹275  ,20 / 10000, Details 
187,2245,  SoundCloud Comments [10M] [1H - 10K/Day]  ,  ₹690  ,20 / 1000000, Details 
188,2302,  PUBG UC Cash - 63UC  ,  ₹75  ,1000 / 1000, Details 
189,2303,  PUBG UC Cash - 340UC  ,  ₹400  ,1000 / 1000, Details 
190,2304,  PUBG UC Cash - 690UC  ,  ₹700  ,1000 / 1000, Details 
191,2300,  Elite Royale Pass Pack [Season 12] - [Free 70 Uc]  ,  ₹798  ,1000 / 1000, Details 
192,2305,  PUBG UC Cash - 1875UC  ,  ₹2016  ,1000 / 1000, Details 
193,2301,  Elite Plus Royal Pass Pack (Season 12) - [Free Classic Create Coupon]  ,  ₹2016  ,1000 / 1000, Details 
194,2306,  PUBG UC Cash - 4000UC  ,  ₹3860  ,1000 / 1000, Details 
195,2307,  PUBG UC Cash - 8400UC  ,  ₹8000  ,1000 / 1000, Details 
196,2222,  Steam Random Key [OFFICIAL] [Key Value 0.95$+]  ,  ₹70  ,1000 / 1000, Details 
197,2223,  Steam Random Key [OFFICIAL] [Key Value 8.95$+]  ,  ₹420  ,1000 / 1000, Details 
198,2224,  Steam Random Key [OFFICIAL] [Key Value 18.95$+]  ,  ₹630  ,1000 / 1000, Details 
199,2246,  Pinterest Followers [500K] [6H - 5K/Day]  ,  ₹160  ,50 / 500000, Details 
200,2247,  Pinterest RePins [10M] [1H - 10K/Day]  ,  ₹200  ,20 / 10000000, Details 
201,2266,  IMDb Views [10K] [R∞] [6H - 1K/Day]  ,  ₹201.6  ,500 / 200000, Details 
202,2249,  IMDB Views [100K]  ,  ₹1000  ,500 / 100000, Details 
203,2264,  IMDb Votes Review YES Helpful [10K] [R∞] [24H - 500/Day]  ,  ₹1008  ,10 / 10000, Details 
204,2265,  IMDb Votes Review NO Helpful [10K] [R∞] [24H - 500/Day]  ,  ₹1008  ,10 / 10000, Details 
205,2254,  IMDb Votes 10 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
206,2255,  IMDb Votes 9 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
207,2256,  IMDb Votes 8 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
208,2257,  IMDb Votes 7 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
209,2258,  IMDb Votes 6 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
210,2259,  IMDb Votes 5 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
211,2260,  IMDb Votes 4 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
212,2261,  IMDb Votes 3 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
213,2262,  IMDb Votes 2 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
214,2263,  IMDb Votes 1 Star [10K] [R∞] [6H - 1K/Day]  ,  ₹1915.2  ,20 / 10000, Details 
215,2253,  IMDB Up STARmeter [50K]  ,  ₹2016  ,500 / 50000, Details 
216,2248,  IMDB Votes [5K]  ,  ₹8000  ,100 / 5000, Details 
217,2250,  IMDB Reviews [500]  ,  ₹302000  ,1 / 500, Details 
218,2251,  IMDB Starmeter [Rank in Top 100]  ,  ₹504000  ,1000 / 1000, Details 
219,2252,  IMDB Starmeter [Rank in Top 10]  ,  ₹806400  ,1000 / 1000, Details 
220,2312,  ☑️LinkedIn Profiles Followers Worldwide [ Lifetime-guarantee ]  ,  ₹620  ,100 / 1000000, Details 
221,2313,  ☑️LinkedIn Company Page Followers Worldwide [ Lifetime-guarantee ]  ,  ₹680  ,100 / 10000000, Details 
222,2311,  🔥 LinkedIn (Company+Profiles) Follower[USA  UK] [ Lifetime-guarantee ]  ,  ₹750  ,100 / 50000, Details 
